C�digoMesa,NombreRecinto,Sigla,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,VotoNulo,VotoBlanco,VotoValido
115.2436,Nucleo Tacamara,PDC,138,18,12,10,11,25,275,9,301,121,498
1151.42,U.E. Curichon,PDC,8,19,2,23,1,9,27,7,61,15,96
1155.47,U.E. Luz En El Camino,UNIDAD,41,60,6,156,4,120,67,263,182,51,717
1157.26075,Sede Portachuelo Medio (Tacana),UNIDAD,29,9,0,3,10,12,20,30,46,10,113
1157.51,U.E.  Portachuelo Dios Es Amor,MAS-IPSP,7,5,7,10,3,31,7,11,148,30,81
1159.49,U.E. Agua Dulce,UNIDAD,7,6,1,13,0,16,24,93,36,10,160
116.2433,Escuela Walata Chico,PDC,72,3,11,7,9,7,121,12,77,27,242
1160.48,U.E. Pedro Herrera,UNIDAD,21,88,1,113,4,41,47,202,43,24,517
1161.50,U.E. Miraflores,UNIDAD,4,26,2,13,1,9,11,65,78,8,131
1164.55,U.E.  Genoveva Rios,UNIDAD,14,10,0,14,1,0,14,14,13,3,67
1166.54,U.E. Gregoria Destre Maturana,AP,84,6,2,16,2,5,38,52,32,14,205
117.2368,Nucleo Ecolar Murumamani,PDC,99,1,18,9,6,23,216,3,182,32,375
1172.52,U.E.  24 de Septiembre,AP,187,41,5,133,5,12,54,181,117,34,618
1173.62,U.E. El Sena,PDC,128,288,17,376,13,56,553,368,548,181,1799
1176.65,U.E. Santa Rosa,PDC,17,16,4,6,3,3,18,13,25,18,80
1177.64,U.E. Las Mercedes,PDC,6,12,2,5,3,2,12,7,20,15,49
1179.66,U.E. Palma Real,UNIDAD,34,35,5,32,1,6,81,90,47,26,284
118.2383,Colegio Suñasivi,PDC,89,13,13,5,12,17,158,12,200,63,319
1181.69,U.E. Abuna,LIBRE,18,15,3,61,3,2,25,8,49,12,135
1185.73,U.E. Humaita,UNIDAD,52,45,6,90,0,20,45,99,82,29,357
1186.74,U.E. Ingavi,UNIDAD,0,14,1,5,1,5,29,43,35,7,98
1187.75,U.E. Derrepente,UNIDAD,0,7,1,10,0,0,5,18,12,1,41
119.2435,Colegio Franz Tamayo,PDC,114,7,26,7,17,16,367,12,224,85,566
1192.77,U.E.  Andres Idagua,UNIDAD,29,62,6,69,3,16,69,157,81,20,411
1195.78,U.E. Enarevena,LIBRE,4,12,1,47,0,2,5,28,12,7,99
120.2432,U.E. Kilusa,PDC,11,1,0,1,2,2,45,2,41,11,64
1200.1,Colegio Gregorio Pacheco,PDC,96,25,11,137,7,30,291,67,242,44,664
1200.2,Centro Educativo Santa Rosa,PDC,99,27,9,204,13,36,363,78,168,18,829
1204.52,Escuela Arabate,PDC,6,1,0,4,2,3,14,0,55,11,30
1205.53,Escuela Seccional De Chaunaca,AP,39,3,10,10,5,3,35,5,103,14,110
1206.54,Unidad Educativa Chuqui Chuqui,PDC,52,11,8,38,8,5,134,10,174,50,266
1207.55,Escuela Fray Gabriel Maria Landini,PDC,52,14,19,23,12,22,184,14,239,61,340
1208.56,Escuela Fray Gabriel Mariscal,PDC,31,6,5,11,4,6,53,4,108,23,120
121.2427,Escuela Corpachilaya,PDC,25,9,9,7,2,9,160,5,84,12,226
1214.1,Casa Posada de Huayllas,PDC,15,3,4,6,3,8,46,3,42,23,88
1215.1,Escuela Tipaka,AP,26,8,3,5,3,3,24,0,35,7,72
1218.58,Escuela Punilla,PDC,22,6,7,21,2,9,87,10,59,22,164
1219.59,Unidad Educativa La Palma,PDC,74,11,15,55,11,9,222,29,177,52,426
122.2449,Escuela Chua Cocani,PDC,52,10,9,13,10,17,462,21,144,35,594
1220.60,Escuela José Sampa,PDC,24,5,4,18,3,2,113,4,52,22,173
1221.61,Unidad Educativa Luis Espinal,PDC,32,17,10,39,15,19,179,15,211,39,326
1223.62,U. Edu. Gualberto Villarroel,PDC,120,22,15,30,9,25,182,21,344,116,424
1224.1,Posta De Salud Y Salón De La Comunidad,PDC,14,0,5,4,2,0,49,0,51,8,74
1225.63,Unidad Educativa Quila Quila,PDC,50,18,21,43,12,20,143,15,119,69,322
123.25755,U.E. Copancara,PDC,47,8,8,5,3,6,135,18,114,28,230
1230.65,Colegio 24 de Septiembre   Maragua,PDC,38,6,7,5,4,12,42,5,84,43,119
1238.1,Unidad Educativa Tuero Chico,PDC,12,3,5,5,2,7,19,3,48,9,56
124.25763,U. E. Jaime Escalante,PDC,98,2,18,14,10,8,205,14,205,78,369
1242.1,U. Edu. San Andres De Poroma,AP,202,15,8,17,8,20,163,15,498,114,448
1246.1,Unidad Educativa Huañoma,AP,25,4,4,2,3,3,11,1,243,50,53
1248.1,Escuela San Salvador de Pojpo,PDC,31,5,7,10,2,5,46,3,67,48,109
125.2457,Escuela Franz Tamayo,PDC,136,18,40,24,19,21,428,16,398,101,702
1253.1,Unidad Educativa Copavillque,AP,18,6,3,7,1,4,5,3,80,15,47
1259.1,Sub Alcaldía De Sapse,PDC,19,4,2,2,2,4,27,3,88,22,63
126.25760,U. E. Morocollo,PDC,88,18,30,13,14,39,316,26,286,104,544
1260.1,Colegio Rafael Campos De Luje,PDC,27,0,3,0,5,3,41,0,75,22,79
1262.66,Unidad Educativa Simón Bolivar La Palca,PDC,7,4,2,1,0,5,34,0,61,21,53
1263.1,Unidad Educativa Piocera,AP,32,8,2,2,2,1,14,0,16,9,61
1264.1,Unidad Educativa Nicanor Lopez,PDC,120,86,29,289,31,166,425,79,299,78,1225
1269.1,Escuela Torrecillas,PDC,8,5,2,15,1,22,31,5,24,8,89
127.2414,Escuela Turrini,PDC,36,1,23,1,7,5,91,15,70,39,179
1270.1,Escuela Huancarani,PDC,5,4,0,0,0,4,9,0,52,19,22
1271.1,Escuela Pinos,AP,16,3,1,2,1,7,6,0,182,24,36
1272.1,Escuela  Rodeo Chico,PDC,22,5,5,7,3,7,28,3,237,52,80
1273.1,Escuela Tablani,PDC,13,5,2,9,6,7,14,0,172,25,56
1275.1,Unidad Educativa Antonio Tovar,PDC,98,25,7,73,10,14,317,18,175,77,562
1276.1,Escuela 12 de Octubre,PDC,49,9,8,34,9,13,168,9,222,59,299
1278.1,Escuela Luis Evencio Orías,PDC,80,27,10,45,7,17,256,21,147,51,463
1279.1,Escuela Mariscal Braun,PDC,16,11,3,6,6,12,72,7,196,49,133
128.25758,U. E. Chojñapata,PDC,12,1,4,1,2,3,17,0,45,13,40
1280.1,Escuela Cruz Ckasa,PDC,39,9,2,1,13,9,112,7,150,28,192
1281.1,Unidad Educativa Jesús Maestro,PDC,36,7,5,8,7,16,54,8,456,51,141
1283.1,Col. Jaime De Zudañez,PDC,139,36,12,132,11,48,371,70,378,71,819
1283.2,Col. Ignacio Prudencio Bustillos,PDC,160,28,19,81,15,53,212,49,500,145,617
1284.1,Unidad Educativa Capilla Llave,AP,24,1,1,0,0,3,13,1,32,6,43
1287.1,Unidad Educativa Ricardo Mujia,PDC,123,22,6,45,12,17,318,24,347,87,567
1288.1,U.E. 31 de Mayo,PDC,28,4,5,4,4,4,36,0,121,31,85
1289.1,Escuela José María Martínez,AP,140,10,9,12,6,3,79,13,259,94,272
129.2389,Escuela Seccional Chiñaja,PDC,6,1,7,2,0,4,31,1,45,8,52
1292.1,Unidad Educativa Eduardo Avaroa,LIBRE,30,13,2,36,1,2,30,2,47,25,116
1293.1,Colegio Franz Tamayo,PDC,256,28,40,82,24,86,432,36,978,173,984
1294.1,Escuela Jaime Mendoza,PDC,12,2,3,15,0,7,23,4,41,13,66
1295.1,Escuela Jorge Anibarro Zapata,PDC,6,0,3,6,0,3,17,1,63,7,36
1298.1,Colegio Antonio José De Sucre,PDC,52,16,6,47,9,15,185,17,227,47,347
1299.1,Escuela Rodeo,PDC,1,1,1,1,0,0,11,0,100,4,15
130.25759,U. E. Inca Huayna Capac,PDC,38,2,12,3,1,21,104,1,144,19,182
1300.1,Escuela Chunca Cancha,AP,16,5,0,3,2,1,5,1,34,7,33
1303.1,Escuela Jatun Mayu,AP,47,3,7,8,4,3,45,2,87,16,119
1305.1,Colegio San Pio X,PDC,189,257,10,302,19,65,570,125,367,76,1537
1305.26132,(Cárcel) Carceleta Pública de Padilla,PDC,4,2,0,5,0,5,8,4,33,3,28
1305.30007,U.E. Deogracias Vega,PDC,140,238,23,246,19,37,544,101,364,95,1348
1306.1,Unidad Educativa 2 de Abril La Cienega,AP,47,31,4,5,5,3,31,6,61,27,132
1307.1,Unidad Educativa Telemina Barja,PDC,16,10,4,8,4,4,66,8,60,12,120
1308.1,Nucleo Escolar Humberto Delgadillo,PDC,26,15,4,31,2,9,154,19,84,22,260
1309.1,Nucleo Escolar Adrián Moya Tapia,PDC,24,23,5,7,4,3,63,8,61,21,137
131.2399,Nucleo Escolar de Patapatani,PDC,24,1,3,3,1,3,79,2,71,6,116
1314.1,Unidad Educativa Eduardo Avaroa,PDC,184,31,30,128,17,52,393,53,362,88,888
1315.1,U.E. Destacamento 111,PDC,65,16,15,20,12,11,94,21,194,50,254
1318.1,U.E. Rvdo. Hans Josef Vossing,PDC,112,49,10,59,8,26,200,31,235,66,495
1318.2,Colegio 25 de Mayo,PDC,77,25,9,67,6,11,145,8,116,29,348
1319.1,Internado Santa Rosa De Amancaya,PDC,11,4,1,1,2,1,35,2,193,21,57
132.2453,Colegio Macamaca,PDC,146,7,36,16,6,7,208,7,242,84,433
1324.1,Unidad Educativa Alcala,PDC,66,51,12,124,18,39,309,75,179,76,694
1325.1,Escuela Oscar Alfaro,PDC,82,20,10,16,2,15,104,16,155,40,265
1326.1,Colegio Eduardo Abaroa,PDC,130,26,10,73,12,45,209,48,160,39,553
133.25756,U.E. Gualberto Villarroel,PDC,109,22,35,16,14,24,294,18,285,96,532
1331.1,U.E. María Vargas de Valda,PDC,105,129,16,647,17,65,736,367,304,56,2082
1331.2,Escuela Bernardo Monteagudo,PDC,94,111,20,667,27,57,721,319,287,67,2016
1331.25719,(Cárcel) Carceleta Pública de Monteagudo,AP,40,5,1,30,3,2,16,5,24,4,102
1331.30021,U.E. Lucio Siles Morales,PDC,64,74,11,382,20,38,456,222,164,27,1267
1331.30022,CEA Jorge Vargas Menduiña,PDC,33,46,5,212,6,19,297,108,105,31,726
1331.32385,U.E. República de Venezuela,PDC,7,9,1,45,5,7,74,28,15,2,176
1332.1,Nucleo Escolar Bartolo,PDC,5,3,0,5,1,0,51,2,9,4,67
1333.1,Escuela Pampa Heredia,PDC,6,8,6,11,7,3,42,8,34,6,91
1335.1,U. Edu. Juana Azurduy De Padilla,PDC,24,16,7,71,9,14,97,73,67,30,311
1336.1,Unidad Educativa Rebeca De La Vega,PDC,103,69,25,269,18,33,731,165,308,81,1413
1336.32159,U.E. Gladys Cruz Perez,PDC,19,14,6,102,2,15,208,45,83,17,411
1337.1,Escuela Pedernal,AP,50,10,4,14,4,8,49,31,42,12,170
134.2413,Colegio Cajiata,PDC,35,4,16,3,5,7,117,5,77,36,192
1340.1,Escuela 6 de Junio,LIBRE,21,12,8,106,8,15,82,35,58,19,287
1341.1,Escuela Fernandez,PDC,19,17,6,24,8,7,55,9,53,6,145
1342.1,Escuela Chapimayu,PDC,22,20,5,25,6,8,79,11,63,26,176
1344.1,Colegio Amistad A,LIBRE,82,65,14,377,21,55,287,178,141,68,1079
1345.1,Escuela Miguel Jhaster,LIBRE,28,8,4,60,8,16,30,42,34,27,196
1346.1,Unidad Baldomero Lopez,PDC,31,13,7,37,3,5,46,28,44,20,170
1348.1,Escuela Rafael Pabon,PDC,36,14,7,59,3,37,116,40,49,28,312
135.2426,Escuela Sotalaya,PDC,70,4,8,7,5,23,170,3,88,19,290
1350.1,Escuela Salvio Lanuza,LIBRE,26,19,6,79,7,4,52,62,22,38,255
1354.1,U. Edu. Rosalia Vda. De Antezana,PDC,111,34,14,66,13,14,253,39,625,120,544
1354.2,Colegio Aniceto Arce,PDC,114,34,14,78,11,21,386,36,578,102,694
1354.26130,(Cárcel) Carceleta Pública de Tarabuco,AP,15,0,2,3,0,2,12,2,30,2,36
1355.1,Colegio Nacional Mixto Bolivia,PDC,54,11,5,17,6,12,303,24,90,26,432
1357.1,U.E. Morado Qasa,PDC,46,10,6,7,8,1,58,5,111,28,141
1359.1,Unidad Educativa Sarufaya,PDC,25,2,13,2,2,3,74,6,131,25,127
136.2398,Tec. Humanista Pocoata Grande,PDC,62,6,19,6,4,12,201,22,238,50,332
1360.1,Escuela Gustavo Valdivia De Pajcha,PDC,22,7,6,9,7,6,75,8,163,28,140
